,creator_id,creator_name,membership_name,membership_desc,num_of_subs
0,0,생방송 여자가 좋다,생방여보,생방여의 지속적인 창작을 응원하는 앨라이들,114
1,1,전인,전인권,전인의 인권을 응원,9
2,2,써니,뽀시래기 슈팅스타,여러분의 응원은 게임 개발을 비롯한 여러 창작의 여정을 이어갈 힘이 되어요 :3,1
3,3,"HR PLUS, 주간 경제 리포트",HR PLUS 리포트 - 스탠다드,HR PLUS 리포트 '스탠다드' 멤버십 입니다.,12
4,2,써니,쪼꼬미 여행자,"창작에 관한 이야기, 그리고 작은 선물로 선데이클럽 올인원팩을 드리고 있어요!",5
5,4,취미만화인,취미청취인,스테디오 오픈기념 1천원 멤버십 / 23년 1월 이벤트 종료,49
6,5,금개,금친,금개의 친구들,49
7,6,이끼,자리끼,이끼가 글쓰고 공연하고 노래하는 것을 지지합니다,19
8,7,박참새,참새야 죽지마,'딱히 관심은 없지만 얘가 죽지 않고 어찌 저찌 잘 살았으면 좋겠다' 개념의 쁘띠 후원,10
9,2,써니,작은 몽상가,컨텐츠 제작을 후원하며 선데이클럽 멤버가 되보세요 :3,1
10,8,똘망똘망 다람이,다람이매니아,멤버십이 많아지면 다람이를 많이 그릴 수밖에 없겠지요...,99
11,9,김다정,감사한분(엽서 우편 발송),매달 우편 엽서발송과 구독을 동시에!,69
12,10,웬만하면 말로 해,말동무,웬만하면 구독해,53
13,11,이랑의 작업실,작업실메이트,작업실 메이트에 가입해주세요. 함께해 주시는 분들에게 혜택을 드립니다!,50
14,12,버둥,둥지,버둥이 내려앉을 곳,44
15,13,들개이빨,만화와 글,,42
16,4,취미만화인,취미청취인,👾란탄과 🐹최준혁이 1개월에 한 번 업로드하는 것을 압박하는 모임,34
17,14,임금손,손님 2호,도안을 자유자재로 만들 수 있는 손님이들을 위한 멤버십,33
18,15,쩡찌,땅콩친구(얼리버드 후원자),쩡찌의 창작 활동을 후원합니다.,27
19,7,박참새,박참새 못 잃어,'너의 모든 것 궁금하고 뭔지 모르겠지만 일단 다 내놔' 개념의 부르주아 후원,22
20,16,윤새 (Yunsae),윤새의 둥지,윤새의 창작활동을 후원합니다,19
21,17,최초의독자,1열,최초의 독자를 가장 앞좌석에서 응원하는 사람들,17
22,18,사라있네 SARAHITNE (작가),🧚🏻‍♀️정규 후원&글구독 멤버십,"실례가 안 된다면, 커피 한 잔 사주십시오 ☕️",16
23,19,담롱,담쟁이,담롱 팀원들이 한땀 한땀 만든 뉴스레터,13
24,20,비편집토크,귀엽고 애매한 금액,둘이서 아이스아메리카노 한 잔을 나눠마시기로 했답니다.,12
25,21,심완선,훑어봅니다,책과 글에 관한 글을 읽습니다.,11
26,22,몰름보,당신은불쌍해!아무튼누군지몰름보,몰름보를 불쌍해합니다,11
27,23,키라라,cts,cts,10
28,24,오배고,배짱이클럽,공감간다면 함께하는 배짱이 클럽,10
29,25,강덕구,생밤,"소설, 에세이, 잡담 등등 손가는대로 글쓰는 것",10
30,26,them,co-them,퀴어+예술+매거진이 만들어지는 과정과 고민을 들려드립니다.,9
31,27,피클티,티타임 친구,음료 한 잔 혹은 간식과 함께 작업실을 방문합니다.,9
32,28,재수의 창작실,찐수재,수재는 제 구독자 분들의 애칭입니다. 멤버십을 가입하시면 찐수재가 됩니다.(...),7
33,22,몰름보,당신은재밌어!아무튼누군지몰름보,몰름보를 재밌어합니다,7
34,29,슬릭,잔디,슬릭의 데모곡과 편지를 만나실 수 있습니다.,7
35,25,강덕구,탄밤,원하시면 손편지 써드립니다.,7
36,30,다시서점,도대체 커서 뭐가 된 걸까,"서점을 연지 어언 10년. 아직도 사람들은 내게 묻는다. ""넌 대체 뭐 하는 사람인데?""",7
37,31,개념없는 철학관,철학관 단골손님,아기연구자를 지원하시고 소소한 정보를 가져가세요,6
38,32,그린풋 문고,지구에 그린풋 남기기,"정기적으로 그린풋 문고 소식, 생태민주주의에 대한 정론을 담은 생태 리포트를 담습니다.",6
39,14,임금손,손님 1호,초보 손님이들을 위한 멤버십,5
40,0,생방송 여자가 좋다,✮❈🎀 서민갑부생방여보  🎀❈✮,여유 되는 애들,5
41,33,펜크래프트,펜크에게 아메리카노 한 잔 사주기,이 아저씨의 사는 이야기 훔쳐보기,5
42,25,강덕구,군밤,"소설, 에세이, 잡담 등등 손가는대로 글쓰는 것",5
43,34,"Jolie Rock, Marlock",Jolie,"Jolie Rock, Marlock이 작업중인 미공개 데모를 들려드립니다.",5
44,5,금개,금친친,금개의 친한 친구,3
45,9,김다정,감사한분(엽서 택배or등기발송),분실위험 없는 등기 엽서 발송과 구독!!!,3
46,7,박참새,참새야 죽지 말고 살아,'불안정한 삶에 한 줄기 빛 되어줄게 죽지 말고 살아서 뭔가라도 하렴' 개념의 레귤러 후원,3
47,35,인레,인레미나티 피라미드 1단계,가입해주신다면 제가 콜라를 사서 마실 수 있습니다.,3
48,36,아리랑걸,000,,3
49,37,WildTalky,마나타임 도우미,'더 로스트 프린스'라는 스토리 기반의 인디게임을 제작하고 있는 개발자입니다.,3
50,38,클로이서재,글 구독 멤버십,,2
51,39,다자이유상무,구독 전문가,월 5천원으로 전문가의 지위와 각종 생활 정보를 받아보세요,2
52,40,인큐브디자인,패션인큐브,패션피플을 위한  트렌드 리포트와 동대문 원단 시장의 텍스타일 정보를 제공합니다.,2
53,41,봅뺏,클론 베테랑,이전 등급 혜택에 추가로 후원자 한정 팟캐스트를 제공합니다.,2
54,42,이모씨,하나,월간 <일반인 이모씨의 일일>을 구독하실 수 있습니다.,2
55,43,깡토 스튜디오,치어리토,게임 개발자 깡토를 응원하는 치어리토 멤버십에 가입해봅시다!,2
56,44,썬게임즈,해보자,따뜻한 관심과 응원,2
57,45,라배우의 예술활동증명,예술인 패스,모든 코너를 청취 할 수 있는 프리패스 멤버십 입니다.,2
58,46,June Green / 지국,꾹 미 꾹 미 업,꾹이를 끌어올려줘,2
59,5,금개,미(스테리)친(구),금개의 친한 친구라기엔 돈을 너무 많이 줌,1
60,9,김다정,구독자님들,굿즈 발송 없이 구독만 원하시는 구독자님들의 멤버쉽,1
61,47,우이,우뚝이,,1
62,48,또톳,기록가의 일지,푸드 크리쳐 기록가의 작업과 일상을 엿볼 수 있습니다.,1
63,41,봅뺏,클론 트루퍼,이전 등급 혜택에 추가로 이달의 스타워즈 소식을 종합한 뉴스레터를 전합니다.,1
64,49,지니,트윙클 트윙클 :-),"주로 귀여운 그림을 그립니다. :-) 손그림, 디지털그림, 에세이툰 등을 끄적여요.",1
65,41,봅뺏,클론 훈련병,"스타워즈 질의응답, 유튜브 컨텐츠 미리보기 등의 혜택을 제공합니다.",1
66,50,주아,보라,,1
67,51,노바써니,통통한 옷장일기,"<통통한 옷장일기>의 이야기를 만화와 에세이, 사진 등으로 만나보세요!",1
68,52,커뮤니티알,알파카,커뮤니티알 운영비용으로 사용됩니다.,1
69,53,무서우니까_몇 걸음,무서우니까_든든,"자연에 대해, 나이 듦에 대해, 무용하게 지속할거예요.",1
70,54,듀플리시티,(무료쿠폰제공) 프로젝트 미리엿보기,공개가 되지않은 텀블벅 펀딩 프로젝트의 컨셉과 과정을 미리 엿보실 수 있습니다.,1
71,55,격과서,리뷰 영상 시청권,,1
72,56,Earlybird music,Earlybird music 작곡법,Earlybird music 작곡법에 대한 내용을 정기적으로 포스팅할 계획입니다.,1
73,57,연보라,M_edit (비정기),여러가지 비밀 얘기들.. 연보라의 개인적 취향을 야금야금 모았습니다.,1
74,58,희선 HS,구독,현재는 후원으로 열려 있습니다. 이후 유료 구독 콘텐츠로 수정될 예정이에요.,1
75,33,펜크래프트,1회 첨삭권,A4 이하 종이에 쓴 글씨를 올려주시면 디테일하게 첨삭을 해드립니다. 커뮤니티 탭 이용.,0
76,35,인레,인레미나티 피라미드 2단계,가입해주신다면 제가 커피를 사서 마실 수 있습니다.,0
77,35,인레,인레미나티 골든 피라미드 맥시멈,당신은 정말 돈이 많으시군요!,0
78,35,인레,인레미나티 피라미드 3단계,가입해주신다면 제가 아이스 초코를 사서 마실 수 있습니다.,0
79,35,인레,인레미나티 피라미드 4단계,가입해주신다면 제가 피자를 사먹을 수 있습니다.,0
80,35,인레,인레미나티 골든 피라미드 맥시멈,당신은 정말 돈이 많으시군요!,0
81,59,ABYSSMEOW,심연의 서재 통행증,조금 더 다양한 작품을 볼 수 있어요!,0
82,30,다시서점,슈뢰딩거의 시,"멤버십을 결제했을 때 시는 어떤 상태로 존재하는가? 살아있는 상태인가, 죽어있는 상태인가?",0
83,30,다시서점,다시서점 큐레이션 북클럽,다시서점이 큐레이션한 책과 콘텐츠를 매달 만나보세요.,0
84,60,한성미술,정 1품 - 대광보국숭록대부(영의정),월 / 한성통보 35개,0
85,60,한성미술,종 1품 - 보국숭록대부,월 / 한성통보 10개,0
86,60,한성미술,정 2품 - 정헌대부(판서),월/ 한성통보 5개,0
87,60,한성미술,정 3품 - 통정대부,월/ 한성통보 3개,0
88,60,한성미술,정 4품 - 봉정대부,월/ 한성통보 1개,0
89,61,에이리,선의의 창작 수호자,"일러스트, 작가일기, 웹툰콘티",0
90,62,OGQ,OGQ 크리에이터 굿즈 구독권,매 월 새로운 크리에이터의 굿즈를 받아요!,0
91,63,해달품은수달,카페지원금,해달품은수달이 카페를 다닐 수 있게 후원해주세요 :),0
92,64,네이처퓸,[텀블벅 X 스테디오] 구독권,22년 2월~6월동안 총 3-4만원 상당의 본품을 월 1회 1번 받아볼 수 있어요! :),0
93,65,실타래,"같이 만들어가는 웹툰, 그림책","웹툰, 그림책 작업의 등장인물과 소통해주세요.",0
94,66,Y의 문장들,응원하기,소정의 비용을 통해 더 길고 좋은 글을 만나실 수 있습니다,0
95,67,ddongHandCanDoIt,we can do it,영양가 있는 듯한 없는 듯한 있는 듯한 멤버십,0
